,Actual,Prediction,isAccurate
0,4,4,True
1,5,5,True
2,5,5,True
3,4,4,True
4,2,2,True
5,5,5,True
6,5,5,True
7,1,3,False
8,5,5,True
9,5,5,True
10,5,5,True
11,5,5,True
12,4,4,True
13,5,5,True
14,5,5,True
15,5,5,True
16,5,5,True
17,3,5,False
18,4,4,True
19,2,2,True
20,4,4,True
21,1,1,True
22,1,1,True
23,5,5,True
24,1,1,True
25,4,4,True
26,1,1,True
27,1,1,True
28,5,4,False
29,5,5,True
30,5,5,True
31,5,5,True
32,1,1,True
33,4,4,True
34,5,5,True
35,5,5,True
36,3,3,True
37,5,5,True
38,2,2,True
39,1,1,True
40,3,3,True
41,5,5,True
42,4,4,True
43,5,5,True
44,4,4,True
45,5,5,True
46,5,5,True
47,5,4,False
48,5,5,True
49,3,3,True
50,1,1,True
51,1,1,True
52,5,5,True
53,5,5,True
54,5,5,True
55,3,3,True
56,3,3,True
57,3,3,True
58,1,1,True
59,1,1,True
60,1,1,True
61,5,5,True
62,5,5,True
63,4,4,True
64,4,4,True
65,1,1,True
66,4,1,False
67,3,3,True
68,5,5,True
69,4,4,True
70,1,1,True
71,4,4,True
72,5,5,True
73,4,4,True
74,5,5,True
75,3,3,True
76,5,5,True
77,3,3,True
78,5,5,True
79,1,1,True
80,5,5,True
81,5,5,True
82,1,1,True
83,5,5,True
84,5,5,True
85,1,1,True
86,5,5,True
87,5,5,True
88,4,4,True
89,1,1,True
90,5,5,True
91,5,5,True
92,3,3,True
93,4,4,True
94,5,5,True
95,5,5,True
96,5,5,True
97,4,1,False
98,3,4,False
99,5,5,True
100,1,1,True
101,5,5,True
102,5,5,True
103,4,4,True
104,5,4,False
105,5,5,True
106,1,1,True
107,5,5,True
108,1,1,True
109,4,4,True
110,3,3,True
111,1,1,True
112,3,3,True
113,5,5,True
114,3,3,True
115,5,5,True
116,4,4,True
117,1,1,True
118,4,5,False
119,1,1,True
120,4,4,True
121,4,4,True
122,5,5,True
123,4,4,True
124,5,5,True
125,5,5,True
126,5,5,True
127,4,4,True
128,5,5,True
129,5,5,True
130,5,5,True
131,5,5,True
132,5,5,True
133,1,1,True
134,5,5,True
135,3,3,True
136,5,5,True
137,5,5,True
138,5,5,True
139,1,1,True
140,3,3,True
141,5,5,True
142,3,3,True
143,5,5,True
144,5,5,True
145,5,5,True
146,5,5,True
147,1,1,True
148,4,4,True
149,5,5,True
150,4,4,True
151,5,5,True
152,1,1,True
153,5,5,True
154,5,5,True
155,5,5,True
156,5,5,True
157,3,5,False
158,1,1,True
159,5,5,True
160,5,5,True
161,4,4,True
162,2,2,True
163,4,4,True
164,4,4,True
165,5,5,True
166,4,4,True
167,1,1,True
168,3,3,True
169,1,1,True
170,1,1,True
171,3,3,True
172,5,5,True
173,4,5,False
174,5,5,True
175,1,1,True
176,1,1,True
177,5,5,True
178,5,5,True
179,5,5,True
180,3,5,False
181,5,5,True
182,3,3,True
183,4,4,True
184,4,4,True
185,5,5,True
186,4,4,True
187,5,5,True
188,5,5,True
189,4,4,True
190,5,5,True
191,4,4,True
192,5,5,True
193,5,5,True
194,5,5,True
195,5,5,True
196,4,4,True
197,2,2,True
198,5,5,True
199,1,1,True
200,5,5,True
201,4,4,True
202,5,5,True
203,2,2,True
204,5,5,True
205,5,5,True
206,4,4,True
207,1,1,True
208,4,4,True
209,5,5,True
210,5,5,True
211,5,5,True
212,1,1,True
213,3,3,True
214,4,4,True
215,5,5,True
216,5,5,True
217,5,5,True
218,5,5,True
219,4,4,True
220,1,1,True
221,3,3,True
222,5,5,True
223,5,5,True
224,5,5,True
225,5,5,True
226,4,4,True
227,1,1,True
228,5,5,True
229,5,5,True
230,3,4,False
231,5,5,True
232,5,5,True
233,1,1,True
234,5,5,True
235,3,3,True
236,3,3,True
237,5,3,False
238,4,4,True
239,1,1,True
240,4,4,True
241,5,5,True
242,5,5,True
243,4,4,True
244,5,5,True
245,1,1,True
246,5,5,True
247,5,5,True
248,5,5,True
249,5,5,True
250,5,5,True
251,2,2,True
252,1,1,True
253,4,4,True
254,4,4,True
255,5,4,False
256,5,5,True
257,4,4,True
258,5,5,True
259,5,5,True
260,5,4,False
261,5,5,True
262,4,5,False
263,4,3,False
264,5,5,True
265,5,5,True
266,5,5,True
267,3,3,True
268,5,5,True
269,5,5,True
270,4,4,True
271,4,4,True
272,5,5,True
273,1,1,True
274,5,5,True
275,4,4,True
276,3,3,True
277,5,5,True
278,4,4,True
279,1,1,True
280,5,5,True
281,5,5,True
282,3,3,True
283,5,5,True
284,5,5,True
285,1,1,True
286,5,5,True
287,4,4,True
288,5,5,True
289,1,1,True
290,4,4,True
291,5,5,True
292,3,3,True
293,4,4,True
294,5,5,True
295,5,5,True
296,3,3,True
297,5,5,True
298,4,4,True
299,1,1,True
300,5,5,True
301,5,5,True
302,4,4,True
303,5,5,True
304,5,5,True
305,5,5,True
306,5,5,True
307,5,5,True
308,1,1,True
309,5,5,True
310,2,2,True
311,1,1,True
312,5,5,True
313,5,5,True
314,3,3,True
315,4,4,True
316,5,5,True
317,5,5,True
318,4,4,True
319,5,5,True
