,Actual,Prediction,Difference
0,4,4.0,0.0
1,5,4.18,0.8200000000000003
2,5,5.0,0.0
3,4,3.9,0.10000000000000009
4,2,2.3,-0.2999999999999998
5,5,5.0,0.0
6,5,4.450000000000001,0.5499999999999989
7,1,1.85,-0.8500000000000001
8,5,4.74,0.2599999999999998
9,5,5.0,0.0
10,5,5.0,0.0
11,5,4.5,0.5
12,4,4.4,-0.40000000000000036
13,5,5.0,0.0
14,5,4.8,0.20000000000000018
15,5,5.0,0.0
16,5,5.0,0.0
17,3,3.44,-0.43999999999999995
18,4,4.1,-0.09999999999999964
19,2,1.9,0.10000000000000009
20,4,4.0,0.0
21,1,1.0,0.0
22,1,1.0,0.0
23,5,4.8,0.20000000000000018
24,1,2.1,-1.1
25,4,3.9,0.10000000000000009
26,1,1.4,-0.3999999999999999
27,1,1.0,0.0
28,5,4.365,0.6349999999999998
29,5,4.8,0.20000000000000018
30,5,5.0,0.0
31,5,5.0,0.0
32,1,1.0,0.0
33,4,3.8,0.20000000000000018
34,5,4.8,0.20000000000000018
35,5,5.0,0.0
36,3,3.2,-0.20000000000000018
37,5,4.9,0.09999999999999964
38,2,2.7,-0.7000000000000002
39,1,1.0,0.0
40,3,3.6,-0.6000000000000001
41,5,5.0,0.0
42,4,4.6,-0.5999999999999996
43,5,5.0,0.0
44,4,4.0,0.0
45,5,3.8,1.2000000000000002
46,5,4.6,0.40000000000000036
47,5,4.225,0.7750000000000004
48,5,4.1,0.9000000000000004
49,3,3.7,-0.7000000000000002
50,1,1.0,0.0
51,1,2.4,-1.4
52,5,5.0,0.0
53,5,5.0,0.0
54,5,5.0,0.0
55,3,3.8,-0.7999999999999998
56,3,3.2,-0.20000000000000018
57,3,3.8,-0.7999999999999998
58,1,1.0,0.0
59,1,2.2,-1.2000000000000002
60,1,1.8,-0.8
61,5,5.0,0.0
62,5,4.800545900178254,0.19945409982174578
63,4,4.448796154825567,-0.44879615482556723
64,4,3.8,0.20000000000000018
65,1,1.0,0.0
66,4,2.5306302018415026,1.4693697981584974
67,3,3.0,0.0
68,5,5.0,0.0
69,4,4.0,0.0
70,1,3.0,-2.0
71,4,4.0,0.0
72,5,5.0,0.0
73,4,4.1,-0.09999999999999964
74,5,4.5,0.5
75,3,3.0,0.0
76,5,5.0,0.0
77,3,3.1,-0.10000000000000009
78,5,5.0,0.0
79,1,1.3,-0.30000000000000004
80,5,4.6,0.40000000000000036
81,5,5.0,0.0
82,1,1.0,0.0
83,5,5.0,0.0
84,5,4.4,0.5999999999999996
85,1,1.0,0.0
86,5,4.85,0.15000000000000036
87,5,5.0,0.0
88,4,3.9,0.10000000000000009
89,1,1.0,0.0
90,5,5.0,0.0
91,5,5.0,0.0
92,3,3.0,0.0
93,4,3.0,1.0
94,5,5.0,0.0
95,5,5.0,0.0
96,5,4.6,0.40000000000000036
97,4,2.3340376966950265,1.6659623033049735
98,3,3.853333333333334,-0.8533333333333339
99,5,4.3,0.7000000000000002
100,1,1.4,-0.3999999999999999
101,5,5.0,0.0
102,5,5.0,0.0
103,4,4.0,0.0
104,5,4.8,0.20000000000000018
105,5,4.8,0.20000000000000018
106,1,1.6,-0.6000000000000001
107,5,4.3,0.7000000000000002
108,1,1.0,0.0
109,4,4.0,0.0
110,3,3.0,0.0
111,1,1.4,-0.3999999999999999
112,3,3.0,0.0
113,5,4.8,0.20000000000000018
114,3,3.3,-0.2999999999999998
115,5,5.0,0.0
116,4,4.0,0.0
117,1,1.0,0.0
118,4,4.220633642673116,-0.22063364267311592
119,1,1.0,0.0
120,4,4.1,-0.09999999999999964
121,4,4.2,-0.20000000000000018
122,5,5.0,0.0
123,4,4.0,0.0
124,5,5.0,0.0
125,5,4.6,0.40000000000000036
126,5,4.8,0.20000000000000018
127,4,3.8,0.20000000000000018
128,5,4.9,0.09999999999999964
129,5,4.9,0.09999999999999964
130,5,5.0,0.0
131,5,5.0,0.0
132,5,5.0,0.0
133,1,1.0,0.0
134,5,5.0,0.0
135,3,3.4,-0.3999999999999999
136,5,5.0,0.0
137,5,4.975,0.025000000000000355
138,5,5.0,0.0
139,1,1.7,-0.7
140,3,2.8,0.20000000000000018
141,5,5.0,0.0
142,3,2.8,0.20000000000000018
143,5,5.0,0.0
144,5,5.0,0.0
145,5,5.0,0.0
146,5,5.0,0.0
147,1,1.0,0.0
148,4,4.0,0.0
149,5,4.8,0.20000000000000018
150,4,4.0,0.0
151,5,5.0,0.0
152,1,1.0,0.0
153,5,5.0,0.0
154,5,5.0,0.0
155,5,4.9,0.09999999999999964
156,5,4.13952380952381,0.8604761904761897
157,3,4.726666666666667,-1.7266666666666666
158,1,2.0,-1.0
159,5,5.0,0.0
160,5,5.0,0.0
161,4,4.383333333333333,-0.38333333333333286
162,2,3.3,-1.2999999999999998
163,4,3.7,0.2999999999999998
164,4,4.3,-0.2999999999999998
165,5,5.0,0.0
166,4,3.6,0.3999999999999999
167,1,1.0,0.0
168,3,3.0,0.0
169,1,1.0,0.0
170,1,1.4,-0.3999999999999999
171,3,3.0,0.0
172,5,4.8,0.20000000000000018
173,4,4.53003862150921,-0.5300386215092097
174,5,4.4,0.5999999999999996
175,1,1.8,-0.8
176,1,1.6,-0.6000000000000001
177,5,4.9,0.09999999999999964
178,5,5.0,0.0
179,5,4.1,0.9000000000000004
180,3,3.7,-0.7000000000000002
181,5,4.866666666666667,0.13333333333333286
182,3,4.266666666666667,-1.2666666666666666
183,4,3.2,0.7999999999999998
184,4,4.2,-0.20000000000000018
185,5,5.0,0.0
186,4,4.0,0.0
187,5,4.9,0.09999999999999964
188,5,5.0,0.0
189,4,4.0,0.0
190,5,5.0,0.0
191,4,4.1,-0.09999999999999964
192,5,4.3,0.7000000000000002
193,5,5.0,0.0
194,5,4.9,0.09999999999999964
195,5,5.0,0.0
196,4,4.0,0.0
197,2,2.6,-0.6000000000000001
198,5,4.8,0.20000000000000018
199,1,1.0,0.0
200,5,4.5,0.5
201,4,4.2,-0.20000000000000018
202,5,5.0,0.0
203,2,2.0,0.0
204,5,4.6,0.40000000000000036
205,5,5.0,0.0
206,4,3.5941666666666663,0.4058333333333337
207,1,1.0,0.0
208,4,4.1,-0.09999999999999964
209,5,4.538095238095238,0.46190476190476204
210,5,4.0,1.0
211,5,4.9,0.09999999999999964
212,1,1.3900000000000001,-0.3900000000000001
213,3,3.0,0.0
214,4,4.2,-0.20000000000000018
215,5,4.6,0.40000000000000036
216,5,5.0,0.0
217,5,4.8,0.20000000000000018
218,5,5.0,0.0
219,4,4.0,0.0
220,1,1.0,0.0
221,3,3.0,0.0
222,5,5.0,0.0
223,5,4.9,0.09999999999999964
224,5,5.0,0.0
225,5,5.0,0.0
226,4,3.9,0.10000000000000009
227,1,1.6,-0.6000000000000001
228,5,4.4,0.5999999999999996
229,5,4.7,0.2999999999999998
230,3,3.6,-0.6000000000000001
231,5,4.471973771449578,0.5280262285504218
232,5,4.7,0.2999999999999998
233,1,2.2666666666666666,-1.2666666666666666
234,5,4.8,0.20000000000000018
235,3,3.0,0.0
236,3,3.0,0.0
237,5,4.246666666666667,0.753333333333333
238,4,2.445,1.5550000000000002
239,1,1.0,0.0
240,4,4.0,0.0
241,5,4.425,0.5750000000000002
242,5,4.835714285714286,0.1642857142857137
243,4,4.0,0.0
244,5,4.4,0.5999999999999996
245,1,1.8,-0.8
